"","timestamp","El.Espinal.Wind.Speed..80.m.","El.Espinal.Wind.Direction..80.m."
"162",2020-04-20 17:00:00,12.245294,268.3153
"163",2020-04-20 18:00:00,12.959999,270
"164",2020-04-20 19:00:00,7.653705,221.18593
"165",2020-04-20 20:00:00,6.3690495,222.7094
"166",2020-04-20 21:00:00,3.319036,220.6013
"167",2020-04-20 22:00:00,0.71999997,89.99999
"168",2020-04-20 23:00:00,2.1897945,80.537674
"169",2020-04-21 00:00:00,3.5455887,66.037506
"170",2020-04-21 01:00:00,4.0249224,63.43495
"171",2020-04-21 02:00:00,4.0249224,63.43495
"172",2020-04-21 03:00:00,3.7585104,73.30075
"173",2020-04-21 04:00:00,4.1046314,74.74488
"174",2020-04-21 05:00:00,4.3349743,85.23635
"175",2020-04-21 06:00:00,4.32,89.99999
"176",2020-04-21 07:00:00,4.32,89.99999
"177",2020-04-21 08:00:00,4.0249224,100.30484
"178",2020-04-21 09:00:00,2.8799999,180
"179",2020-04-21 10:00:00,6.4096174,218.15723
"180",2020-04-21 11:00:00,8.14587,225
"181",2020-04-21 12:00:00,9.504272,232.69606
"182",2020-04-21 13:00:00,9.085988,236.30994
"183",2020-04-21 14:00:00,10.495713,239.03624
"184",2020-04-21 15:00:00,10.464797,243.43495
"185",2020-04-21 16:00:00,11.770403,246.57132
"186",2020-04-21 17:00:00,10.931203,252.75854
"187",2020-04-21 18:00:00,10.390226,255.96376
"188",2020-04-21 19:00:00,9.565437,250.20113
"189",2020-04-21 20:00:00,9.983106,244.359
"190",2020-04-21 21:00:00,7.9036193,239.93141
"191",2020-04-21 22:00:00,5.8603754,222.51045
"192",2020-04-21 23:00:00,5.771239,183.57634
"193",2020-04-20 00:00:00,1.08,360
"194",2020-04-20 01:00:00,0.8049845,26.565033
"195",2020-04-20 02:00:00,0.8049845,26.565033
"196",2020-04-20 03:00:00,1.1384199,18.434952
"197",2020-04-20 04:00:00,1.1384199,18.434952
"198",2020-04-20 05:00:00,1.2979984,33.690063
"200",2020-04-20 07:00:00,5.7599998,89.99999
"201",2020-04-20 08:00:00,5.7599998,89.99999
"202",2020-04-20 09:00:00,1.8,143.1301
"203",2020-04-20 10:00:00,4.072935,225
"205",2020-04-20 12:00:00,8.669949,228.36647
