"","timestamp","Amalia.Wind.Speed..80.m.","Amalia.Wind.Direction..80.m."
"162",2020-04-20 17:00:00,24.312662,242.67612
"163",2020-04-20 18:00:00,24.18707,255.34326
"164",2020-04-20 19:00:00,23.157824,258.3407
"165",2020-04-20 20:00:00,23.675303,261.25385
"166",2020-04-20 21:00:00,22.104116,263.4537
"167",2020-04-20 22:00:00,18,270
"168",2020-04-20 23:00:00,13.039754,276.34018
"169",2020-04-21 00:00:00,9.178235,281.30994
"170",2020-04-21 01:00:00,6.0347,287.35403
"171",2020-04-21 02:00:00,3.8939953,303.69006
"172",2020-04-21 03:00:00,2.9024127,330.25513
"173",2020-04-21 04:00:00,3.2399998,360
"174",2020-04-21 05:00:00,4.0249224,10.30484
"175",2020-04-21 06:00:00,4.802999,12.994629
"176",2020-04-21 07:00:00,5.154415,24.775131
"177",2020-04-21 08:00:00,3.096837,35.53766
"178",2020-04-21 09:00:00,1.609969,333.43497
"179",2020-04-21 10:00:00,3.2399998,270
"180",2020-04-21 11:00:00,7.42159,255.96376
"181",2020-04-21 12:00:00,11.620809,253.81079
"182",2020-04-21 13:00:00,16.071491,254.4072
"183",2020-04-21 14:00:00,19.734436,255.20325
"184",2020-04-21 15:00:00,22.530937,257.074
"185",2020-04-21 16:00:00,23.936617,257.84506
"186",2020-04-21 17:00:00,25.277023,259.3302
"187",2020-04-21 18:00:00,25.099514,261.7537
"188",2020-04-21 19:00:00,26.33911,259.7652
"189",2020-04-21 20:00:00,30.190672,261.7733
"190",2020-04-21 21:00:00,29.574827,266.51068
"191",2020-04-21 22:00:00,21.96,270
"192",2020-04-21 23:00:00,13.004921,265.23636
"193",2020-04-20 00:00:00,7.2805495,261.46924
"194",2020-04-20 01:00:00,5.937272,255.96376
"195",2020-04-20 02:00:00,4.1046314,254.74487
"196",2020-04-20 03:00:00,2.0991426,239.03624
"197",2020-04-20 04:00:00,1.1384199,161.56505
"199",2020-04-20 06:00:00,4.0249224,63.43495
"200",2020-04-20 07:00:00,4.6800003,67.380135
"201",2020-04-20 08:00:00,3.396233,57.994614
"202",2020-04-20 09:00:00,1.4399999,89.99999
"203",2020-04-20 10:00:00,3.6179552,185.71059
"204",2020-04-20 11:00:00,7.5942082,211.42957
"205",2020-04-20 12:00:00,10.44,223.60281
"206",2020-04-20 13:00:00,13.551501,230.38931
"207",2020-04-20 14:00:00,16.075521,235.95407
"208",2020-04-20 15:00:00,18.847641,241.47688
"209",2020-04-20 16:00:00,20.288164,242.52557
"210",2020-04-20 17:00:00,21.603,246.4253
"211",2020-04-20 18:00:00,21.407139,250.34618
"212",2020-04-20 19:00:00,21.758419,253.66397
"213",2020-04-20 20:00:00,22.963936,260.98068
"214",2020-04-20 21:00:00,22.7057,267.27368
"215",2020-04-20 22:00:00,18.014393,272.29062
"216",2020-04-20 23:00:00,11.901798,273.46823
"217",2020-04-21 00:00:00,7.5942073,275.44034
"218",2020-04-21 01:00:00,5.0528407,274.08563
"219",2020-04-21 02:00:00,3.319036,282.5288
"220",2020-04-21 03:00:00,2.8116899,309.80557
"221",2020-04-21 04:00:00,2.5455842,351.8699
"223",2020-04-21 06:00:00,4.6938252,4.398697
"224",2020-04-21 07:00:00,3.396233,32.005356
"225",2020-04-21 08:00:00,1.484318,14.03624
"226",2020-04-21 09:00:00,1.08,270
"227",2020-04-21 10:00:00,4.5536795,251.56506
"228",2020-04-21 11:00:00,9,253.7398
"229",2020-04-21 12:00:00,13.661038,251.56506
"230",2020-04-21 13:00:00,18.671474,250.86636
"231",2020-04-21 14:00:00,22.657131,252.42874
"232",2020-04-21 15:00:00,25.417631,254.389
"233",2020-04-21 16:00:00,26.6327,256.71515
"234",2020-04-21 17:00:00,27.534704,258.69006
"235",2020-04-21 18:00:00,33.847656,268.78113
"236",2020-04-21 19:00:00,30.676142,274.03772
"237",2020-04-21 20:00:00,28.054604,278.85797
"238",2020-04-21 21:00:00,26.987997,279.21103
"239",2020-04-21 22:00:00,23.936617,282.15494
"240",2020-04-21 23:00:00,18.64369,280.008
"241",2020-04-22 00:00:00,13.039754,276.34018
"242",2020-04-22 01:00:00,9.746631,274.2364
"243",2020-04-22 02:00:00,7.5942073,275.44034
"244",2020-04-22 03:00:00,6.379216,286.38956
"245",2020-04-22 04:00:00,5.1165614,309.2894
"246",2020-04-22 05:00:00,5.154415,335.22485
"247",2020-04-22 06:00:00,8.404285,313.26428
"248",2020-04-22 07:00:00,7.9932966,324.16235
"249",2020-04-22 08:00:00,4.8965297,323.97263
"250",2020-04-22 09:00:00,6.489992,303.69006
"251",2020-04-22 10:00:00,10.948973,297.40756
"252",2020-04-22 11:00:00,14.168641,297.2161
