"","timestamp","Atlangatepec.Wind.Speed..80.m.","Atlangatepec.Wind.Direction..80.m."
"155",2020-04-20 10:00:00,4.1046314,254.74487
"156",2020-04-20 11:00:00,3.8268526,318.8141
"157",2020-04-20 12:00:00,5.0528407,4.085617
"158",2020-04-20 13:00:00,7.5170207,16.69925
"159",2020-04-20 14:00:00,8.049845,26.565033
"160",2020-04-20 15:00:00,10.44,43.602814
"161",2020-04-20 16:00:00,11.753877,62.65013
"162",2020-04-20 17:00:00,7.92,89.99999
"163",2020-04-20 18:00:00,8.0899935,147.72435
"164",2020-04-20 19:00:00,8.427383,160.01689
"165",2020-04-20 20:00:00,11.983188,57.26477
"166",2020-04-20 21:00:00,18.681883,64.9164
"167",2020-04-20 22:00:00,17.477621,122.38068
"168",2020-04-20 23:00:00,11.165805,181.84761
"169",2020-04-21 00:00:00,5.4833565,203.1986
"170",2020-04-21 01:00:00,11.570515,185.35582
"171",2020-04-21 02:00:00,9.6932955,195.0685
"172",2020-04-21 03:00:00,7.2,216.8699
"173",2020-04-21 04:00:00,6.9153743,218.65982
"174",2020-04-21 05:00:00,5.1919937,213.69006
"175",2020-04-21 06:00:00,2.6208394,195.9454
"176",2020-04-21 07:00:00,1.4399999,180
"177",2020-04-21 08:00:00,1.08,89.99999
"178",2020-04-21 09:00:00,1.0182338,135
"179",2020-04-21 10:00:00,1.835647,101.30993
"180",2020-04-21 11:00:00,3.2599385,96.34019
"181",2020-04-21 12:00:00,4.73506,98.74616
"182",2020-04-21 13:00:00,5.04,89.99999
"183",2020-04-21 14:00:00,6.2145634,79.99202
"184",2020-04-21 15:00:00,6.519877,83.65981
"185",2020-04-21 16:00:00,5.815978,111.80141
"186",2020-04-21 17:00:00,8.854829,153.43495
"187",2020-04-21 18:00:00,12.979984,176.82018
"188",2020-04-21 19:00:00,17.057314,187.27501
"189",2020-04-21 20:00:00,19.959719,187.25319
"190",2020-04-21 21:00:00,19.201874,186.45882
"191",2020-04-21 22:00:00,18.806337,185.49232
"192",2020-04-21 23:00:00,22.33161,178.15239
"193",2020-04-20 00:00:00,17.373497,185.94687
"194",2020-04-20 01:00:00,17.076298,198.43495
"195",2020-04-20 02:00:00,13.849477,207.89728
"196",2020-04-20 03:00:00,11.753876,220.03026
"197",2020-04-20 04:00:00,8.4963045,233.61565
"198",2020-04-20 05:00:00,4.3498964,245.55606
"199",2020-04-20 06:00:00,2.7416782,23.198593
"201",2020-04-20 08:00:00,11.165805,358.1524
"202",2020-04-20 09:00:00,9.19939,329.42078
"203",2020-04-20 10:00:00,11.609651,330.25513
"204",2020-04-20 11:00:00,9.36,360
"205",2020-04-20 12:00:00,8.557102,22.249008
"206",2020-04-20 13:00:00,8.0899935,32.275635
"207",2020-04-20 14:00:00,6.4096174,38.157227
"208",2020-04-20 15:00:00,6.8777895,47.121094
"209",2020-04-20 16:00:00,9.793059,53.97262
"210",2020-04-20 17:00:00,10.182337,81.869896
"211",2020-04-20 18:00:00,9.3669195,92.2026
"212",2020-04-20 19:00:00,6.297428,120.963745
"213",2020-04-20 20:00:00,6.9153743,141.34018
"214",2020-04-20 21:00:00,5.815978,158.1986
"215",2020-04-20 22:00:00,9,163.73979
"216",2020-04-20 23:00:00,10.685391,147.38075
"217",2020-04-21 00:00:00,13.237039,157.61987
"218",2020-04-21 01:00:00,11.966953,173.08878
"219",2020-04-21 02:00:00,7.5599995,180
"220",2020-04-21 03:00:00,5.7599998,180
"221",2020-04-21 04:00:00,4.3349743,175.23636
"222",2020-04-21 05:00:00,3.0758414,159.44395
"223",2020-04-21 06:00:00,1.9386592,158.1986
"225",2020-04-21 08:00:00,5.4477882,187.59465
"226",2020-04-21 09:00:00,4.379589,189.46233
"227",2020-04-21 10:00:00,4.0249224,169.69516
"228",2020-04-21 11:00:00,4.6102495,128.6598
"229",2020-04-21 12:00:00,7.69592,100.784294
"230",2020-04-21 13:00:00,8.311245,94.96974
"231",2020-04-21 14:00:00,8.707238,82.874985
"232",2020-04-21 15:00:00,9.793058,72.89727
"233",2020-04-21 16:00:00,9.793058,72.89727
"234",2020-04-21 17:00:00,9.028754,94.57392
"235",2020-04-21 18:00:00,10.587918,144.68878
"236",2020-04-21 19:00:00,14.512064,172.87498
"237",2020-04-21 20:00:00,14.764389,88.60281
"238",2020-04-21 21:00:00,8.311245,94.96974
"239",2020-04-21 22:00:00,2.5455842,98.1301
"240",2020-04-21 23:00:00,0.35999998,180
"241",2020-04-22 00:00:00,15.484185,215.53769
"242",2020-04-22 01:00:00,27.553524,208.90918
"243",2020-04-22 02:00:00,27.219902,200.1126
"244",2020-04-22 03:00:00,22.881958,204.14554
"245",2020-04-22 04:00:00,24.590923,197.90445
"246",2020-04-22 05:00:00,25.0064,202.87367
"247",2020-04-22 06:00:00,23.34455,206.56505
"248",2020-04-22 07:00:00,20.188908,211.13898
"249",2020-04-22 08:00:00,12.181625,198.97041
"250",2020-04-22 09:00:00,14.986553,204.10223
"251",2020-04-22 10:00:00,17.414474,209.74489
"252",2020-04-22 11:00:00,16.179987,212.27565
"253",2020-04-22 12:00:00,12.313894,217.87498
"254",2020-04-22 13:00:00,8.913181,223.36343
"255",2020-04-22 14:00:00,8.435069,219.80557
"256",2020-04-22 15:00:00,12.413477,209.53879
"257",2020-04-22 16:00:00,16.904673,206.56505
"258",2020-04-22 17:00:00,18.455048,200.55605
"259",2020-04-22 18:00:00,19.386593,201.8014
"260",2020-04-22 19:00:00,24.288662,191.97614
"261",2020-04-22 20:00:00,16.78156,202.71442
"262",2020-04-22 21:00:00,21.178896,211.79892
"263",2020-04-22 22:00:00,19.513195,209.87599
"264",2020-04-22 23:00:00,18.089775,211.1593
"265",2020-04-23 00:00:00,23.143827,195.33328
"266",2020-04-23 01:00:00,20.545246,191.11304
"267",2020-04-23 02:00:00,17.873556,207.59729
"268",2020-04-23 03:00:00,17.377226,219.95755
"269",2020-04-23 04:00:00,16.323528,221.42366
"270",2020-04-23 05:00:00,12.261157,220.23636
"271",2020-04-23 06:00:00,7.9036193,239.93141
"272",2020-04-23 07:00:00,16.343367,277.59464
"273",2020-04-23 08:00:00,12.984975,223.87671
"274",2020-04-23 09:00:00,8.913181,223.36343
"275",2020-04-23 10:00:00,10.390226,255.96376
"276",2020-04-23 11:00:00,14.33234,295.2777
"277",2020-04-23 12:00:00,11.113451,335.09525
"278",2020-04-23 13:00:00,8.707238,352.875
"279",2020-04-23 14:00:00,7.5685663,2.7262878
"280",2020-04-23 15:00:00,10.948973,27.407562
"281",2020-04-23 16:00:00,22.039528,38.367477
"282",2020-04-23 17:00:00,28.449112,38.3201
"283",2020-04-23 18:00:00,17.673029,33.36635
"284",2020-04-23 19:00:00,16.075521,55.954063
"285",2020-04-23 20:00:00,3.0758414,159.44395
"286",2020-04-23 21:00:00,2.16,360
"287",2020-04-23 22:00:00,4.73506,351.25385
"288",2020-04-23 23:00:00,0.35999998,360
"289",2020-04-24 00:00:00,16.676977,166.26373
"290",2020-04-24 01:00:00,23.042812,179.10483
"291",2020-04-24 02:00:00,20.519999,180
"292",2020-04-24 03:00:00,17.373497,185.94687
"293",2020-04-24 04:00:00,19.483284,196.09082
"294",2020-04-24 05:00:00,18.919704,201.19406
"295",2020-04-24 06:00:00,15.937878,198.43495
"296",2020-04-24 07:00:00,12.43434,202.10945
"297",2020-04-24 08:00:00,6.151683,200.55605
"298",2020-04-24 09:00:00,4.6800003,202.61987
"299",2020-04-24 10:00:00,6.12,208.0725
"300",2020-04-24 11:00:00,5.8048253,209.74489
"301",2020-04-24 12:00:00,3.396233,212.00539
"302",2020-04-24 13:00:00,3.096837,234.46233
"303",2020-04-24 14:00:00,1.0182338,225
"304",2020-04-24 15:00:00,1.835647,78.69006
"305",2020-04-24 16:00:00,2.9024127,60.25511
"306",2020-04-24 17:00:00,6.9153743,51.34018
"307",2020-04-24 18:00:00,9.085988,56.30993
"308",2020-04-24 19:00:00,8.161764,48.576324
"309",2020-04-24 20:00:00,16.039202,44.090607
"310",2020-04-24 21:00:00,10.829959,74.577835
"311",2020-04-24 22:00:00,7.342588,78.69006
"312",2020-04-24 23:00:00,5.0142193,21.037506
"313",2020-04-25 00:00:00,3.5455887,156.0375
"314",2020-04-25 01:00:00,16.946787,167.73523
"315",2020-04-25 02:00:00,27.047956,189.9638
"316",2020-04-25 03:00:00,22.91026,188.1301
"317",2020-04-25 04:00:00,17.651016,168.2317
"318",2020-04-25 05:00:00,15.141414,151.60698
"319",2020-04-25 06:00:00,12.496718,138.50352
"320",2020-04-25 07:00:00,12.7279215,151.26021
"321",2020-04-25 08:00:00,6.12,180
"322",2020-04-25 09:00:00,4.896529,197.10272
"323",2020-04-25 10:00:00,6.28713,203.62938
"324",2020-04-25 11:00:00,5.2416787,195.9454
"325",2020-04-25 12:00:00,2.0991426,149.03624
"326",2020-04-25 13:00:00,4.1046314,105.25512
"327",2020-04-25 14:00:00,5.4119864,86.18592
"328",2020-04-25 15:00:00,12.88981,54.09027
"329",2020-04-25 16:00:00,24.184391,45.60309
"330",2020-04-25 17:00:00,14.021525,60.802513
"331",2020-04-25 18:00:00,15.192682,53.673157
"332",2020-04-25 19:00:00,13.237039,67.61986
"333",2020-04-25 20:00:00,11.525623,14.470276
"334",2020-04-25 21:00:00,15.575981,56.30993
"335",2020-04-25 22:00:00,5.1919937,213.69006
"336",2020-04-25 23:00:00,19.134262,221.18593
"337",2020-04-26 00:00:00,11.570515,185.35582
"338",2020-04-26 01:00:00,10.00256,120.25643
"339",2020-04-26 02:00:00,11.901798,86.53177
"340",2020-04-26 03:00:00,25.741888,47.834106
"341",2020-04-26 04:00:00,12.496718,41.49646
"342",2020-04-26 05:00:00,5.00128,30.256424
"343",2020-04-26 06:00:00,4.896529,17.102722
"344",2020-04-26 07:00:00,9.227524,20.55603
"345",2020-04-26 08:00:00,13.891522,31.218384
"346",2020-04-26 09:00:00,10.009036,37.69423
"347",2020-04-26 10:00:00,8.12197,12.804245
"348",2020-04-26 11:00:00,11.165805,20.772247
"349",2020-04-26 12:00:00,14.982228,35.217575
"350",2020-04-26 13:00:00,18.079027,35.272415
"351",2020-04-26 14:00:00,20.3774,32.005356
"352",2020-04-26 15:00:00,10.30883,24.775131
"353",2020-04-26 16:00:00,19.171478,34.286865
"354",2020-04-26 17:00:00,16.418526,37.87497
"355",2020-04-26 18:00:00,12.261157,49.76364
"356",2020-04-26 19:00:00,11.770403,66.571304
"357",2020-04-26 20:00:00,22.915916,43.726974
"358",2020-04-26 21:00:00,18.844202,43.451828
"359",2020-04-26 22:00:00,15.408671,37.40535
"360",2020-04-26 23:00:00,15.683774,31.865982
"361",2020-04-27 00:00:00,15.876775,32.96939
"362",2020-04-27 01:00:00,13.979872,34.508514
"363",2020-04-27 02:00:00,11.966954,43.781113
"364",2020-04-27 03:00:00,11.113451,65.09524
"365",2020-04-27 04:00:00,10.446206,91.97493
"366",2020-04-27 05:00:00,12.768586,111.50143
"367",2020-04-27 06:00:00,11.367109,100.954056
"368",2020-04-27 07:00:00,10.853866,84.289406
"369",2020-04-27 08:00:00,9.693296,68.19859
"370",2020-04-27 09:00:00,5.6920996,71.56504
"371",2020-04-27 10:00:00,7.42159,104.03624
"372",2020-04-27 11:00:00,4.8965297,143.97263
"373",2020-04-27 12:00:00,5.2416787,164.0546
"374",2020-04-27 13:00:00,6.5693827,170.53767
"375",2020-04-27 14:00:00,7.2,180
"376",2020-04-27 15:00:00,8.4042845,189.86581
"377",2020-04-27 16:00:00,6.162207,186.70984
"378",2020-04-27 17:00:00,7.628263,199.29004
"379",2020-04-27 18:00:00,13.237039,202.38013
"380",2020-04-27 19:00:00,18.214718,198.43495
"381",2020-04-27 20:00:00,22.26477,194.03624
"382",2020-04-27 21:00:00,19.9954,166.46414
"383",2020-04-27 22:00:00,16.595179,130.60129
"384",2020-04-27 23:00:00,10.195057,132.13759
"385",2020-04-26 00:00:00,6.28713,23.629364
"386",2020-04-26 01:00:00,5.00128,59.74356
"387",2020-04-26 02:00:00,23.838959,38.254425
"388",2020-04-26 03:00:00,14.021525,48.122116
"389",2020-04-26 04:00:00,8.4963045,36.38434
"390",2020-04-26 05:00:00,5.0911684,44.999985
"391",2020-04-26 06:00:00,3.2399998,89.99999
"393",2020-04-26 08:00:00,11.592895,25.769318
"394",2020-04-26 09:00:00,5.937272,14.03624
"395",2020-04-26 10:00:00,4.829907,26.565033
"396",2020-04-26 11:00:00,3.6,360
"397",2020-04-26 12:00:00,5.8048253,352.875
"398",2020-04-26 13:00:00,12.074766,10.30484
"399",2020-04-26 14:00:00,17.068707,27.645966
"400",2020-04-26 15:00:00,16.1198,29.427444
"401",2020-04-26 16:00:00,17.429354,38.290146
"402",2020-04-26 17:00:00,16.199999,36.86989
"403",2020-04-26 18:00:00,13.746156,44.999985
"404",2020-04-26 19:00:00,14.264361,42.954575
"417",2020-04-27 08:00:00,5.95906,64.98311
"418",2020-04-27 09:00:00,4.3349743,85.23635
"419",2020-04-27 10:00:00,6.519877,96.34019
"420",2020-04-27 11:00:00,7.172949,107.52557
"421",2020-04-27 12:00:00,6.12,118.07248
"422",2020-04-27 13:00:00,4.6938257,122.47119
"423",2020-04-27 14:00:00,3.6,126.869896
"424",2020-04-27 15:00:00,2.2768397,108.434944
"425",2020-04-27 16:00:00,5.634891,63.43495
"426",2020-04-27 17:00:00,4.5536795,71.56504
"427",2020-04-27 18:00:00,3.2399998,89.99999
"428",2020-04-27 19:00:00,3.319036,139.3987
"429",2020-04-27 20:00:00,9.387651,57.5288
"430",2020-04-27 21:00:00,7.8954163,46.847595
"431",2020-04-27 22:00:00,4.6102495,51.34018
"432",2020-04-27 23:00:00,4.6938252,175.60129
"433",2020-04-28 00:00:00,5.506941,191.30994
"434",2020-04-28 01:00:00,4.3349743,175.23636
"435",2020-04-28 02:00:00,5.1544156,167.90524
"436",2020-04-28 03:00:00,6.379216,196.38954
"437",2020-04-28 04:00:00,7.8954163,223.15239
"438",2020-04-28 05:00:00,10.144082,242.52557
"439",2020-04-28 06:00:00,10.308831,257.90524
"440",2020-04-28 07:00:00,11.165805,249.22775
"441",2020-04-28 08:00:00,6.9899354,258.11133
"442",2020-04-28 09:00:00,5.2416787,254.0546
"443",2020-04-28 10:00:00,7.5170207,286.69925
"444",2020-04-28 11:00:00,12.768586,319.57394
"445",2020-04-28 12:00:00,18,343.7398
"446",2020-04-28 13:00:00,20.883104,0.9877472
"447",2020-04-28 14:00:00,21.38897,6.7661743
"448",2020-04-28 15:00:00,19.562946,12.757523
"449",2020-04-28 16:00:00,17.114204,22.249008
"450",2020-04-28 17:00:00,16.263872,27.699463
"451",2020-04-28 18:00:00,14.372974,22.067886
"452",2020-04-28 19:00:00,9.885262,10.49147
"453",2020-04-28 20:00:00,10.883676,55.784294
"454",2020-04-28 21:00:00,3.4152596,108.434944
"455",2020-04-28 22:00:00,6.4799995,180
"456",2020-04-28 23:00:00,5.1544156,192.09476
"457",2020-04-29 00:00:00,3.319036,220.6013
"458",2020-04-29 01:00:00,2.16,270
"459",2020-04-29 02:00:00,2.5455842,278.1301
"460",2020-04-29 03:00:00,2.5455842,261.8699
"461",2020-04-29 04:00:00,1.835647,258.69006
"462",2020-04-29 05:00:00,0.8049845,296.56506
"463",2020-04-29 06:00:00,3.9763298,5.194412
"464",2020-04-29 07:00:00,6.519877,6.340164
"465",2020-04-29 08:00:00,6.4096174,321.84277
"466",2020-04-29 09:00:00,5.692099,304.69516
"467",2020-04-29 10:00:00,7.8625183,285.9454
"468",2020-04-29 11:00:00,8.891344,291.37064
"469",2020-04-29 12:00:00,10.086427,325.1755
"470",2020-04-29 13:00:00,15.629972,352.05652
"471",2020-04-29 14:00:00,18.751125,3.3018646
"472",2020-04-29 15:00:00,22.206486,16.966125
"473",2020-04-29 16:00:00,28.277763,31.464142
"474",2020-04-29 17:00:00,21.461555,22.693771
"475",2020-04-29 18:00:00,22.963936,13.600525
"476",2020-04-29 19:00:00,28.33957,25.588516
"477",2020-04-29 20:00:00,24.912935,37.366653
"478",2020-04-29 21:00:00,24.33664,29.219238
"479",2020-04-29 22:00:00,21.120682,29.623734
"480",2020-04-29 23:00:00,19.586119,36.027374
"481",2020-04-30 00:00:00,22.45315,41.099487
"482",2020-04-30 01:00:00,24.75638,40.872406
"483",2020-04-30 02:00:00,25.809765,30.141388
"484",2020-04-30 03:00:00,28.99062,28.156174
"485",2020-04-30 04:00:00,26.89419,27.937134
"486",2020-04-30 05:00:00,26.081993,26.211365
"487",2020-04-30 06:00:00,25.772078,24.775131
"488",2020-04-30 07:00:00,24.819122,23.962479
"489",2020-04-30 08:00:00,11.720751,47.489548
"490",2020-04-30 09:00:00,15.856354,50.527527
"491",2020-04-30 10:00:00,14.291592,40.914368
"492",2020-04-30 11:00:00,14.689588,36.027374
"493",2020-04-30 12:00:00,14.982228,35.217575
"494",2020-04-30 13:00:00,14.77755,34.07718
"495",2020-04-30 14:00:00,12.10157,30.37912
"496",2020-04-30 15:00:00,9.826088,28.442917
"497",2020-04-30 16:00:00,6.2145634,10.00798
"498",2020-04-30 17:00:00,7.2,360
"499",2020-04-30 18:00:00,11.841756,19.536652
"500",2020-04-30 19:00:00,13.246826,42.797394
"501",2020-04-30 20:00:00,20.969807,34.508514
"502",2020-04-30 21:00:00,16.375053,33.3407
"503",2020-04-30 22:00:00,8.669949,41.63353
"504",2020-04-30 23:00:00,6.519877,83.65981
"505",2020-05-01 00:00:00,3.396233,57.994614
"506",2020-05-01 01:00:00,5.95906,334.98312
"507",2020-05-01 02:00:00,8.473393,347.73523
"508",2020-05-01 03:00:00,8.287822,357.51044
"509",2020-05-01 04:00:00,7.342588,348.69006
"510",2020-05-01 05:00:00,7.42159,345.96375
"511",2020-05-01 06:00:00,8.287822,357.51044
"512",2020-05-01 07:00:00,7.69592,10.7842865
"513",2020-05-01 08:00:00,1.484318,345.96375
"514",2020-05-01 09:00:00,1.835647,258.69006
"515",2020-05-01 10:00:00,3.319036,257.4712
"516",2020-05-01 11:00:00,5.0528407,274.08563
"517",2020-05-01 12:00:00,6.379216,286.38956
"518",2020-05-01 13:00:00,7.2805495,278.53076
"519",2020-05-01 14:00:00,7.69592,280.7843
"520",2020-05-01 15:00:00,5.815978,338.1986
"521",2020-05-01 16:00:00,10.883676,34.2157
"522",2020-05-01 17:00:00,15.072783,40.15599
"523",2020-05-01 18:00:00,15.7908325,43.15239
"524",2020-05-01 19:00:00,11.384198,34.69516
"525",2020-05-01 20:00:00,21.413193,296.99585
"526",2020-05-01 21:00:00,16.485485,301.6075
"527",2020-05-01 22:00:00,4.8965297,36.027374
"528",2020-05-01 23:00:00,3.2399998,180
"529",2020-05-02 00:00:00,3.8268526,228.81409
"530",2020-05-02 01:00:00,2.52,270
"531",2020-05-02 02:00:00,2.8116899,309.80557
"532",2020-05-02 03:00:00,3.319036,282.5288
"533",2020-05-02 04:00:00,3.671294,281.30994
"534",2020-05-02 05:00:00,4.2136917,289.98312
"535",2020-05-02 06:00:00,5.0911684,315
"536",2020-05-02 07:00:00,4.6938257,327.5288
"537",2020-05-02 08:00:00,4.510787,241.38954
"538",2020-05-02 09:00:00,3.7064266,240.9454
"539",2020-05-02 10:00:00,5.4477882,262.40536
"540",2020-05-02 11:00:00,8.089993,290.85446
"541",2020-05-02 12:00:00,9.290511,305.5377
"542",2020-05-02 13:00:00,9.957108,310.60132
"543",2020-05-02 14:00:00,9,323.13013
"544",2020-05-02 15:00:00,8.209263,344.74487
"545",2020-05-02 16:00:00,9.19939,30.579224
"546",2020-05-02 17:00:00,15.9134655,52.352364
"547",2020-05-02 18:00:00,17.174677,56.976128
