"","timestamp","El.Nuevo.Mercurio.Wind.Speed..80.m.","El.Nuevo.Mercurio.Wind.Direction..80.m."
"195",2020-04-20 02:00:00,6.849467,273.0128
"196",2020-04-20 03:00:00,6.4799995,270
"197",2020-04-20 04:00:00,4.73506,261.25385
"198",2020-04-20 05:00:00,3.7585104,253.30075
"199",2020-04-20 06:00:00,3.219938,243.43495
"201",2020-04-20 08:00:00,4.829907,206.56505
"202",2020-04-20 09:00:00,4.829907,206.56505
"203",2020-04-20 10:00:00,2.9024127,209.74489
"204",2020-04-20 11:00:00,6.28713,293.6294
"205",2020-04-20 12:00:00,9.511088,299.4759
"206",2020-04-20 13:00:00,10.739833,283.57043
"207",2020-04-20 14:00:00,11.609651,277.125
"208",2020-04-20 15:00:00,12.7279215,278.1301
"209",2020-04-20 16:00:00,13.009903,284.42078
"210",2020-04-20 17:00:00,12.57426,293.6294
"211",2020-04-20 18:00:00,11.923557,298.8866
"212",2020-04-20 19:00:00,11.304229,307.23483
"213",2020-04-20 20:00:00,12.4811535,326.7683
"214",2020-04-20 21:00:00,13.1041975,344.0546
"215",2020-04-20 22:00:00,10.495713,354.09387
"216",2020-04-20 23:00:00,7.5685663,2.7262878
"217",2020-04-21 00:00:00,5.3517847,19.653809
"218",2020-04-21 01:00:00,3.563818,44.999985
"219",2020-04-21 02:00:00,2.9024127,82.874985
"220",2020-04-21 03:00:00,4.510787,118.61046
"221",2020-04-21 04:00:00,6.193674,144.46231
"222",2020-04-21 05:00:00,8.225035,156.8014
"223",2020-04-21 06:00:00,9.227524,159.44395
"225",2020-04-21 08:00:00,4.39436,145.00798
"226",2020-04-21 09:00:00,4.198285,149.03624
"227",2020-04-21 10:00:00,3.7585104,163.30075
"228",2020-04-21 11:00:00,3.6,180
"229",2020-04-21 12:00:00,4.802999,192.99461
"230",2020-04-21 13:00:00,5.815978,201.8014
"231",2020-04-21 14:00:00,7.289445,212.90524
"232",2020-04-21 15:00:00,8.654987,225
"233",2020-04-21 16:00:00,9.220499,231.3402
"234",2020-04-21 17:00:00,9.290511,234.46233
"235",2020-04-21 18:00:00,9.793059,233.97263
"236",2020-04-21 19:00:00,10.296251,233.53076
"237",2020-04-21 20:00:00,4.802999,167.00539
"238",2020-04-21 21:00:00,6.439876,153.43495
"239",2020-04-21 22:00:00,9.227524,159.44395
"240",2020-04-21 23:00:00,11.570515,174.64418
"241",2020-04-22 00:00:00,14.264361,190.1755
"242",2020-04-22 01:00:00,16.179985,200.85446
"243",2020-04-22 02:00:00,14.48972,206.56505
"244",2020-04-22 03:00:00,12.904882,210.14139
"245",2020-04-22 04:00:00,9.585739,214.28688
"246",2020-04-22 05:00:00,6.792466,212.00539
"247",2020-04-22 06:00:00,5.315336,208.30077
"248",2020-04-22 07:00:00,5.95906,205.01689
"249",2020-04-22 08:00:00,7.9036193,210.06859
"250",2020-04-22 09:00:00,6.297428,210.96376
"251",2020-04-22 10:00:00,8.217153,241.18921
"252",2020-04-22 11:00:00,11.720751,259.38034
"253",2020-04-22 12:00:00,13.797912,262.50415
"254",2020-04-22 13:00:00,16.039202,260.9605
"255",2020-04-22 14:00:00,18.289274,259.79602
"256",2020-04-22 15:00:00,21.077686,262.14667
