"","timestamp","Cahuapan.Wind.Speed..80.m.","Cahuapan.Wind.Direction..80.m."
"144",2020-04-19 23:00:00,40.340885,193.41618
"145",2020-04-20 00:00:00,40.35213,195.52411
"146",2020-04-20 01:00:00,42.279697,195.81137
"147",2020-04-20 02:00:00,42.530308,195.21259
"148",2020-04-20 03:00:00,43.482574,194.3814
"149",2020-04-20 04:00:00,43.498962,192.42595
"150",2020-04-20 05:00:00,44.055527,191.30994
"151",2020-04-20 06:00:00,43.34974,191.49657
"152",2020-04-20 07:00:00,42.366966,192.26477
"153",2020-04-20 08:00:00,17.64,180
"154",2020-04-20 09:00:00,30.703587,184.70786
"155",2020-04-20 10:00:00,41.998287,194.3936
"156",2020-04-20 11:00:00,46.929974,196.48875
"157",2020-04-20 12:00:00,46.829063,196.0664
"158",2020-04-20 13:00:00,45.94057,195.45201
"159",2020-04-20 14:00:00,45.150948,195.25513
"160",2020-04-20 15:00:00,43.13395,194.50017
"161",2020-04-20 16:00:00,39.72743,194.16217
"162",2020-04-20 17:00:00,38.521683,195.72475
"163",2020-04-20 18:00:00,37.56786,198.43495
"164",2020-04-20 19:00:00,37.16902,201.5953
"165",2020-04-20 20:00:00,17.811815,194.03624
"166",2020-04-20 21:00:00,16.520823,191.30994
"167",2020-04-20 22:00:00,14.118243,199.359
"168",2020-04-20 23:00:00,14.512064,203.38522
"169",2020-04-21 00:00:00,16.1198,203.70265
"170",2020-04-21 01:00:00,22.702845,207.3777
"171",2020-04-21 02:00:00,25.1614,213.91743
"172",2020-04-21 03:00:00,24.962307,213.23172
"173",2020-04-21 04:00:00,24.312662,207.32388
"174",2020-04-21 05:00:00,21.288757,198.74133
"175",2020-04-21 06:00:00,17.373497,185.94687
"176",2020-04-21 07:00:00,14.869351,173.04704
"177",2020-04-21 08:00:00,11.304229,170.83765
"178",2020-04-21 09:00:00,7.92,180
"179",2020-04-21 10:00:00,5.937272,194.03624
"180",2020-04-21 11:00:00,6.8399997,180
"181",2020-04-21 12:00:00,7.2,180
"182",2020-04-21 13:00:00,6.8399997,180
"183",2020-04-21 14:00:00,6.849467,176.98721
"184",2020-04-21 15:00:00,5.771239,183.57634
"185",2020-04-21 16:00:00,5.0142193,201.0375
"186",2020-04-21 17:00:00,2.8116899,320.19443
"187",2020-04-21 18:00:00,16.418526,15.255127
"188",2020-04-21 19:00:00,15.175612,22.306198
"189",2020-04-21 20:00:00,11.212135,5.527527
"190",2020-04-21 21:00:00,9.504272,322.69604
"191",2020-04-21 22:00:00,13.797913,285.12402
"192",2020-04-21 23:00:00,14.044615,268.5312
"193",2020-04-20 00:00:00,43.319836,195.42216
"194",2020-04-20 01:00:00,44.36187,195.05122
"195",2020-04-20 02:00:00,44.87888,193.92477
"196",2020-04-20 03:00:00,43.928844,192.78346
"197",2020-04-20 04:00:00,43.70257,191.4025
"198",2020-04-20 05:00:00,42.57295,191.21492
"199",2020-04-20 06:00:00,40.456375,191.80988
"201",2020-04-20 08:00:00,42.876286,193.10278
"202",2020-04-20 09:00:00,46.193764,194.90265
"203",2020-04-20 10:00:00,47.33007,194.98756
"204",2020-04-20 11:00:00,47.67792,194.87569
"205",2020-04-20 12:00:00,46.63494,195.21632
"206",2020-04-20 13:00:00,46.193764,194.90265
"207",2020-04-20 14:00:00,45.057564,194.81346
"208",2020-04-20 15:00:00,43.573387,194.83994
"209",2020-04-20 16:00:00,41.835964,195.47133
"210",2020-04-20 17:00:00,40.89606,196.36108
"211",2020-04-20 18:00:00,40.98312,198.43495
"212",2020-04-20 19:00:00,39.27961,197.60463
"213",2020-04-20 20:00:00,35.406506,198.98763
"214",2020-04-20 21:00:00,32.69664,200.62988
"215",2020-04-20 22:00:00,31.311722,197.39333
"216",2020-04-20 23:00:00,30.625402,197.79599
"217",2020-04-21 00:00:00,29.714724,199.09349
"218",2020-04-21 01:00:00,30.085318,201.0375
"219",2020-04-21 02:00:00,30.29566,200.15761
"220",2020-04-21 03:00:00,30.421598,200.79411
"221",2020-04-21 04:00:00,30.351225,202.30621
"222",2020-04-21 05:00:00,29.49804,203.7495
"223",2020-04-21 06:00:00,28.220417,203.29457
"225",2020-04-21 08:00:00,6.151683,200.55605
"226",2020-04-21 09:00:00,6.9899354,191.88866
