"","timestamp","Playa.Novillero.Wind.Speed..80.m.","Playa.Novillero.Wind.Direction..80.m."
"159",2020-04-20 14:00:00,13.049689,245.55606
"160",2020-04-20 15:00:00,12.245293,245.69547
"161",2020-04-20 16:00:00,13.202726,244.13365
"162",2020-04-20 17:00:00,11.435313,241.82141
"163",2020-04-20 18:00:00,11.4862,237.80426
"164",2020-04-20 19:00:00,4.829907,243.43495
"165",2020-04-20 20:00:00,4.802999,257.00537
"166",2020-04-20 21:00:00,2.5455842,278.1301
"167",2020-04-20 22:00:00,1.4399999,360
"168",2020-04-20 23:00:00,3.6,89.99999
"169",2020-04-21 00:00:00,6.0347,107.35402
"170",2020-04-21 01:00:00,6.830519,108.434944
"171",2020-04-21 02:00:00,6.5693827,99.46232
"172",2020-04-21 03:00:00,5.771239,86.42367
"173",2020-04-21 04:00:00,6.151683,69.443954
"174",2020-04-21 05:00:00,6.297428,59.036255
"175",2020-04-21 06:00:00,7.2,53.130096
"176",2020-04-21 07:00:00,7.491114,54.782394
"177",2020-04-21 08:00:00,7.5942082,58.570435
"178",2020-04-21 09:00:00,1.1384199,18.434952
"179",2020-04-21 10:00:00,2.968636,255.96376
"180",2020-04-21 11:00:00,5.4833565,246.8014
"181",2020-04-21 12:00:00,8.373386,244.53665
"182",2020-04-21 13:00:00,10.144082,242.52557
"183",2020-04-21 14:00:00,13.217443,240.64226
"184",2020-04-21 15:00:00,13.397612,239.30028
"185",2020-04-21 16:00:00,14.57889,237.09476
"186",2020-04-21 17:00:00,13.324863,231.58195
"187",2020-04-21 18:00:00,13.513193,228.2397
"188",2020-04-21 19:00:00,9.885262,213.11134
"189",2020-04-21 20:00:00,9.227524,200.55605
"190",2020-04-21 21:00:00,7.92,180
"191",2020-04-21 22:00:00,7.42159,157.16635
"192",2020-04-21 23:00:00,7.42159,129.09386
"193",2020-04-20 00:00:00,6.489992,109.44003
"194",2020-04-20 01:00:00,6.28713,103.24051
"195",2020-04-20 02:00:00,5.4119864,93.81408
"196",2020-04-20 03:00:00,5.04,89.99999
"197",2020-04-20 04:00:00,5.0911684,81.869896
"198",2020-04-20 05:00:00,4.802999,77.00538
"200",2020-04-20 07:00:00,5.6233797,50.194427
"201",2020-04-20 08:00:00,5.495161,58.392494
"202",2020-04-20 09:00:00,0.71999997,270
"203",2020-04-20 10:00:00,4.379589,260.5377
"204",2020-04-20 11:00:00,5.937272,255.96376
"205",2020-04-20 12:00:00,9.107359,251.56506
"206",2020-04-20 13:00:00,10.703569,250.34618
"207",2020-04-20 14:00:00,14.707222,248.45903
"208",2020-04-20 15:00:00,14.182355,246.0375
"209",2020-04-20 16:00:00,12.879752,243.43495
"210",2020-04-20 17:00:00,11.609651,240.25513
