"","timestamp","Armadillo.de.los.Infante.Wind.Speed..80.m.","Armadillo.de.los.Infante.Wind.Direction..80.m."
"147",2020-04-20 02:00:00,13.854155,114.56717
"148",2020-04-20 03:00:00,12.783802,122.34744
"149",2020-04-20 04:00:00,9.693296,148.67131
"150",2020-04-20 05:00:00,7.5942073,174.55966
"151",2020-04-20 06:00:00,4.802999,192.99461
"152",2020-04-20 07:00:00,3.0547013,225
"153",2020-04-20 08:00:00,3.6,233.1301
"154",2020-04-20 09:00:00,3.2399998,270
"155",2020-04-20 10:00:00,1.8,270
"156",2020-04-20 11:00:00,1.0182338,315
"157",2020-04-20 12:00:00,1.1384199,341.56506
"158",2020-04-20 13:00:00,0.35999998,360
"159",2020-04-20 14:00:00,1.2979984,236.30994
"160",2020-04-20 15:00:00,1.4399999,180
"161",2020-04-20 16:00:00,1.8,143.1301
"162",2020-04-20 17:00:00,5.2416787,105.9454
"163",2020-04-20 18:00:00,11.013882,101.30993
"164",2020-04-20 19:00:00,22.881956,102.72436
"165",2020-04-20 20:00:00,17.902534,105.15406
"166",2020-04-20 21:00:00,24.735432,111.33685
"167",2020-04-20 22:00:00,25.277025,116.2001
"168",2020-04-20 23:00:00,23.03156,114.96278
"169",2020-04-21 00:00:00,15.7908325,114.22774
"170",2020-04-21 01:00:00,11.503113,110.1363
"171",2020-04-21 02:00:00,9,106.2602
"172",2020-04-21 03:00:00,7.072878,104.74355
"173",2020-04-21 04:00:00,5.506941,101.30993
"174",2020-04-21 05:00:00,4.802999,102.99461
"175",2020-04-21 06:00:00,4.452954,104.03624
"176",2020-04-21 07:00:00,3.7585104,106.69924
"177",2020-04-21 08:00:00,2.4149535,116.56505
"178",2020-04-21 09:00:00,2.0364676,135
"179",2020-04-21 10:00:00,0.35999998,180
"180",2020-04-21 11:00:00,2.8799999,89.99999
"181",2020-04-21 12:00:00,6.924738,98.97262
"182",2020-04-21 13:00:00,10.587917,107.818886
"183",2020-04-21 14:00:00,12.864649,107.92791
"184",2020-04-21 15:00:00,15.379206,106.31385
"185",2020-04-21 16:00:00,18,106.2602
"186",2020-04-21 17:00:00,22.79684,105.57254
"187",2020-04-21 18:00:00,26.415268,107.44718
"188",2020-04-21 19:00:00,32.343952,106.8214
"189",2020-04-21 20:00:00,36.345737,106.101295
"190",2020-04-21 21:00:00,23.933908,105.708626
"191",2020-04-21 22:00:00,19.48661,101.725105
"192",2020-04-21 23:00:00,16.24394,102.80426
"193",2020-04-20 00:00:00,14.512064,133.9949
"194",2020-04-20 01:00:00,12.984975,133.8767
"195",2020-04-20 02:00:00,9.957108,139.39871
"196",2020-04-20 03:00:00,7.653705,138.81407
"197",2020-04-20 04:00:00,5.495161,148.3925
"198",2020-04-20 05:00:00,4.379589,189.46233
"199",2020-04-20 06:00:00,4.6938257,237.52881
"201",2020-04-20 08:00:00,2.968636,255.96376
"203",2020-04-20 10:00:00,1.484318,284.03625
"204",2020-04-20 11:00:00,0.8049845,333.43497
"205",2020-04-20 12:00:00,0.71999997,360
"206",2020-04-20 13:00:00,1.4399999,360
"207",2020-04-20 14:00:00,1.2979984,326.30994
"208",2020-04-20 15:00:00,0.8049845,296.56506
"209",2020-04-20 16:00:00,0.71999997,360
"210",2020-04-20 17:00:00,4.0249224,79.695145
"211",2020-04-20 18:00:00,10.105681,94.08562
"212",2020-04-20 19:00:00,22.734219,100.954056
"213",2020-04-20 20:00:00,38.175278,105.87117
"214",2020-04-20 21:00:00,36.834526,111.80141
"215",2020-04-20 22:00:00,24.014996,113.875275
"216",2020-04-20 23:00:00,16.45007,113.19859
"217",2020-04-21 00:00:00,11.043261,109.025604
"218",2020-04-21 01:00:00,7.342588,101.30993
"219",2020-04-21 02:00:00,4.3349743,85.23635
"220",2020-04-21 03:00:00,3.096837,54.46232
"221",2020-04-21 04:00:00,2.2768397,18.434952
"222",2020-04-21 05:00:00,2.5455842,351.8699
"223",2020-04-21 06:00:00,2.5959969,326.30994
"225",2020-04-21 08:00:00,2.8799999,270
"226",2020-04-21 09:00:00,1.8,270
"227",2020-04-21 10:00:00,1.609969,153.43495
"228",2020-04-21 11:00:00,3.5455887,113.96249
"229",2020-04-21 12:00:00,6.6185193,112.380135
"230",2020-04-21 13:00:00,10.495713,112.16634
"231",2020-04-21 14:00:00,12.245293,114.30454
"232",2020-04-21 15:00:00,13.905509,111.2505
"233",2020-04-21 16:00:00,16.645864,111.571304
"234",2020-04-21 17:00:00,21.288757,108.74134
"235",2020-04-21 18:00:00,25.161398,109.21267
"236",2020-04-21 19:00:00,31.421213,108.01977
"237",2020-04-21 20:00:00,25.620771,109.70798
"238",2020-04-21 21:00:00,20.49156,108.434944
"239",2020-04-21 22:00:00,17.208603,105.78075
"240",2020-04-21 23:00:00,14.84318,104.03624
"241",2020-04-22 00:00:00,12.9249525,102.87499
"242",2020-04-22 01:00:00,10.182337,98.1301
"243",2020-04-22 02:00:00,7.92,89.99999
"244",2020-04-22 03:00:00,6.8399997,89.99999
"245",2020-04-22 04:00:00,5.0528407,94.08562
"246",2020-04-22 05:00:00,4.2136917,109.9831
"247",2020-04-22 06:00:00,3.319036,139.3987
"248",2020-04-22 07:00:00,2.8799999,180
"249",2020-04-22 08:00:00,3.8939953,213.69006
"250",2020-04-22 09:00:00,5.1165614,230.7106
"251",2020-04-22 10:00:00,5.991594,237.26477
"252",2020-04-22 11:00:00,7.968939,251.56506
"253",2020-04-22 12:00:00,9.422101,263.41806
"254",2020-04-22 13:00:00,10.086427,272.0454
"255",2020-04-22 14:00:00,9.885262,280.4915
"256",2020-04-22 15:00:00,9.826088,278.42697
"257",2020-04-22 16:00:00,10.1376915,276.1155
"258",2020-04-22 17:00:00,10.086427,272.0454
"259",2020-04-22 18:00:00,9,270
"260",2020-04-22 19:00:00,4.802999,257.00537
"261",2020-04-22 20:00:00,22.033648,265.31412
"262",2020-04-22 21:00:00,21.746504,263.34558
"263",2020-04-22 22:00:00,23.803596,266.53177
"264",2020-04-22 23:00:00,25.2924,274.8991
"265",2020-04-23 00:00:00,27.181787,281.45874
